Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)
P46531	reviewed	NOTC1_HUMAN	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	NOTCH1 TAN1	animal organ regeneration [GO:0031100]; aortic valve morphogenesis [GO:0003180]; apoptotic process involved in embryonic digit morphogenesis [GO:1902263]; arterial endothelial cell differentiation [GO:0060842]; astrocyte differentiation [GO:0048708]; atrioventricular node development [GO:0003162]; atrioventricular valve morphogenesis [GO:0003181]; auditory receptor cell fate commitment [GO:0009912]; axon guidance [GO:0007411]; branching morphogenesis of an epithelial tube [GO:0048754]; calcium-ion regulated exocytosis [GO:0017156]; cardiac atrium morphogenesis [GO:0003209]; cardiac chamber formation [GO:0003207]; cardiac epithelial to mesenchymal transition [GO:0060317]; cardiac left ventricle morphogenesis [GO:0003214]; cardiac muscle cell myoblast differentiation [GO:0060379]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac right atrium morphogenesis [GO:0003213]; cardiac right ventricle formation [GO:0003219]; cardiac septum morphogenesis [GO:0060411]; cardiac vascular smooth muscle cell development [GO:0060948]; cardiac ventricle morphogenesis [GO:0003208]; cell differentiation in spinal cord [GO:0021515]; cell migration involved in endocardial cushion formation [GO:0003273]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to hypoxia [GO:0071456]; cellular response to tumor cell [GO:0071228]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cilium assembly [GO:0060271]; collecting duct development [GO:0072044]; compartment pattern specification [GO:0007386]; coronary artery morphogenesis [GO:0060982]; coronary sinus valve morphogenesis [GO:0003182]; coronary vein morphogenesis [GO:0003169]; determination of left/right symmetry [GO:0007368]; distal tubule development [GO:0072017]; embryonic hindlimb morphogenesis [GO:0035116]; endocardial cell differentiation [GO:0060956]; endocardial cushion morphogenesis [GO:0003203]; endocardium development [GO:0003157]; endocardium morphogenesis [GO:0003160]; endoderm development [GO:0007492]; epidermal cell fate specification [GO:0009957]; epithelial cell fate commitment [GO:0072148]; epithelial cell proliferation [GO:0050673]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; forebrain development [GO:0030900]; foregut morphogenesis [GO:0007440]; glomerular mesangial cell development [GO:0072144]; growth involved in heart morphogenesis [GO:0003241]; hair follicle morphogenesis [GO:0031069]; heart development [GO:0007507]; heart looping [GO:0001947]; heart trabecula morphogenesis [GO:0061384]; homeostasis of number of cells within a tissue [GO:0048873]; humoral immune response [GO:0006959]; immune response [GO:0006955]; in utero embryonic development [GO:0001701]; inflammatory response to antigenic stimulus [GO:0002437]; inhibition of neuroepithelial cell differentiation [GO:0002085]; interleukin-17-mediated signaling pathway [GO:0097400]; keratinocyte differentiation [GO:0030216]; left/right axis specification [GO:0070986]; liver development [GO:0001889]; lung development [GO:0030324]; luteolysis [GO:0001554]; mesenchymal cell development [GO:0014031]; mitral valve formation [GO:0003192]; negative regulation of anoikis [GO:2000811]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of catalytic activity [GO:0043086]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cell proliferation involved in heart valve morphogenesis [GO:0003252]; negative regulation of cell-cell adhesion mediated by cadherin [GO:2000048]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of collagen biosynthetic process [GO:0032966]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of endothelial cell chemotaxis [GO:2001027]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of extracellular matrix constituent secretion [GO:0003332]; negative regulation of gene expression [GO:0010629]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of inner ear auditory receptor cell differentiation [GO:0045608]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of neurogenesis [GO:0050768]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of photoreceptor cell differentiation [GO:0046533]; negative regulation of pro-B cell differentiation [GO:2000974]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural tube development [GO:0021915]; neuroendocrine cell differentiation [GO:0061101]; neuronal stem cell population maintenance [GO:0097150]; Notch signaling pathway [GO:0007219]; Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003270]; oligodendrocyte differentiation [GO:0048709]; outflow tract morphogenesis [GO:0003151]; pericardium morphogenesis [GO:0003344]; positive regulation of aorta morphogenesis [GO:1903849]; positive regulation of apoptotic process involved in morphogenesis [GO:1902339]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cardiac epithelial to mesenchymal transition [GO:0062043]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of receptor signaling pathway via JAK-STAT [GO:0046427]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of viral genome replication [GO:0045070]; prostate gland epithelium morphogenesis [GO:0060740]; protein catabolic process [GO:0030163]; protein import into nucleus [GO:0006606]; pulmonary valve morphogenesis [GO:0003184]; regulation of cell adhesion involved in heart morphogenesis [GO:0061344]; regulation of DNA-templated transcription [GO:0006355]; regulation of epithelial cell proliferation involved in prostate gland development [GO:0060768]; regulation of extracellular matrix assembly [GO:1901201]; regulation of somitogenesis [GO:0014807]; regulation of stem cell proliferation [GO:0072091]; regulation of transcription by RNA polymerase II [GO:0006357]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; retinal cone cell differentiation [GO:0042670]; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development [GO:0060528]; skeletal muscle cell differentiation [GO:0035914]; somatic stem cell division [GO:0048103]; spermatogenesis [GO:0007283]; sprouting angiogenesis [GO:0002040]; T-helper 17 type immune response [GO:0072538]; tissue regeneration [GO:0042246]; transcription by RNA polymerase II [GO:0006366]; tube formation [GO:0035148]; vasculogenesis involved in coronary vascular morphogenesis [GO:0060979]; venous endothelial cell differentiation [GO:0060843]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222]
P46736	reviewed	BRCC3_HUMAN	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	cell division [GO:0051301]; cellular response to ionizing radiation [GO:0071479]; DNA repair-dependent chromatin remodeling [GO:0140861]; double-strand break repair [GO:0006302]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic G2/M transition checkpoint [GO:0044818]; positive regulation of DNA repair [GO:0045739]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; protein K63-linked deubiquitination [GO:0070536]; proteolysis [GO:0006508]; regulation of DNA damage checkpoint [GO:2000001]; regulation of DNA repair [GO:0006282]; response to ionizing radiation [GO:0010212]; response to X-ray [GO:0010165]
P46940	reviewed	IQGA1_HUMAN	Ras GTPase-activating-like protein IQGAP1 (p195)	IQGAP1 KIAA0051	cell migration [GO:0016477]; cellular response to calcium ion [GO:0071277]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; epidermal growth factor receptor signaling pathway [GO:0007173]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fibroblast migration [GO:0010761]; mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; negative regulation of dephosphorylation [GO:0035305]; neuron projection extension [GO:1990138]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; podocyte development [GO:0072015]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein kinase activity [GO:0045860]; regulation of cytokine production [GO:0001817]; regulation of mitotic cell cycle [GO:0007346]; signal transduction [GO:0007165]
P47974	reviewed	TISD_HUMAN	mRNA decay activator protein ZFP36L2 (Butyrate response factor 2) (EGF-response factor 2) (ERF-2) (TPA-induced sequence 11d) (Zinc finger protein 36, C3H1 type-like 2) (ZFP36-like 2)	ZFP36L2 ERF2 RNF162C TIS11D	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to glucocorticoid stimulus [GO:0071385]; cellular response to granulocyte macrophage colony-stimulating factor stimulus [GO:0097011]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; definitive hemopoiesis [GO:0060216]; ERK1 and ERK2 cascade [GO:0070371]; hemopoiesis [GO:0030097]; mRNA catabolic process [GO:0006402]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of mitotic cell cycle phase transition [GO:1901991]; negative regulation of stem cell differentiation [GO:2000737]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:1900153]; regulation of B cell differentiation [GO:0045577]; regulation of mRNA stability [GO:0043488]; response to wounding [GO:0009611]; somatic stem cell division [GO:0048103]; somatic stem cell population maintenance [GO:0035019]; T cell differentiation in thymus [GO:0033077]
P48729	reviewed	KC1A_HUMAN	Casein kinase I isoform alpha (CKI-alpha) (EC 2.7.11.1) (CK1)	CSNK1A1	cell division [GO:0051301]; cell surface receptor signaling pathway [GO:0007166]; cellular response to nutrient [GO:0031670]; Golgi organization [GO:0007030]; intermediate filament cytoskeleton organization [GO:0045104]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of TORC1 signaling [GO:1904263]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]; viral protein processing [GO:0019082]; Wnt signaling pathway [GO:0016055]
P49450	reviewed	CENPA_HUMAN	Histone H3-like centromeric protein A (Centromere autoantigen A) (Centromere protein A) (CENP-A)	CENPA	CENP-A containing chromatin assembly [GO:0034080]; establishment of mitotic spindle orientation [GO:0000132]; kinetochore assembly [GO:0051382]; mitotic cytokinesis [GO:0000281]; protein localization to CENP-A containing chromatin [GO:0061644]; protein localization to chromosome, centromeric region [GO:0071459]
P49454	reviewed	CENPF_HUMAN	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	cell differentiation [GO:0030154]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA biosynthetic process [GO:0071897]; kidney development [GO:0001822]; kinetochore assembly [GO:0051382]; metaphase chromosome alignment [GO:0051310]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly checkpoint signaling [GO:0007094]; muscle organ development [GO:0007517]; negative regulation of DNA-templated transcription [GO:0045892]; protein transport [GO:0015031]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]; regulation of striated muscle tissue development [GO:0016202]; response to xenobiotic stimulus [GO:0009410]; ventricular system development [GO:0021591]
P49757	reviewed	NUMB_HUMAN	Protein numb homolog (h-Numb) (Protein S171)	NUMB C14orf41	adherens junction organization [GO:0034332]; axonogenesis [GO:0007409]; lateral ventricle development [GO:0021670]; negative regulation of protein localization to plasma membrane [GO:1903077]; neuroblast division in subventricular zone [GO:0021849]; positive regulation of cell migration [GO:0030335]; positive regulation of neurogenesis [GO:0050769]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]
P49916	reviewed	DNLI3_HUMAN	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	LIG3	base-excision repair, DNA ligation [GO:0006288]; base-excision repair, gap-filling [GO:0006287]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; double-strand break repair via homologous recombination [GO:0000724]; lagging strand elongation [GO:0006273]; mitochondrial DNA repair [GO:0043504]; mitochondrion organization [GO:0007005]; negative regulation of mitochondrial DNA replication [GO:0090298]
P49917	reviewed	DNLI4_HUMAN	DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	LIG4	cell division [GO:0051301]; cell population proliferation [GO:0008283]; cellular response to ionizing radiation [GO:0071479]; cellular response to lithium ion [GO:0071285]; central nervous system development [GO:0007417]; chromosome organization [GO:0051276]; DN2 thymocyte differentiation [GO:1904155]; DNA biosynthetic process [GO:0071897]; DNA ligation [GO:0006266]; DNA ligation involved in DNA recombination [GO:0051102]; DNA ligation involved in DNA repair [GO:0051103]; double-strand break repair [GO:0006302]; double-strand break repair via classical nonhomologous end joining [GO:0097680]; double-strand break repair via nonhomologous end joining [GO:0006303]; establishment of integrated proviral latency [GO:0075713]; fibroblast proliferation [GO:0048144]; immunoglobulin V(D)J recombination [GO:0033152]; in utero embryonic development [GO:0001701]; isotype switching [GO:0045190]; negative regulation of neuron apoptotic process [GO:0043524]; neurogenesis [GO:0022008]; neuron apoptotic process [GO:0051402]; nucleotide-excision repair, DNA gap filling [GO:0006297]; positive regulation of chromosome organization [GO:2001252]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of neurogenesis [GO:0050769]; pro-B cell differentiation [GO:0002328]; response to gamma radiation [GO:0010332]; response to X-ray [GO:0010165]; single strand break repair [GO:0000012]; somatic stem cell population maintenance [GO:0035019]; stem cell proliferation [GO:0072089]; T cell differentiation in thymus [GO:0033077]; T cell receptor V(D)J recombination [GO:0033153]; V(D)J recombination [GO:0033151]
P50613	reviewed	CDK7_HUMAN	Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit)	CDK7 CAK CAK1 CDKN7 MO15 STK1	cell division [GO:0051301]; DNA repair [GO:0006281]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; regulation of cell cycle [GO:0051726]; regulation of G1/S transition of mitotic cell cycle [GO:2000045]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]; transcription initiation at RNA polymerase II promoter [GO:0006367]
P50748	reviewed	KNTC1_HUMAN	Kinetochore-associated protein 1 (Rough deal homolog) (HsROD) (Rod) (hRod)	KNTC1 KIAA0166	cell division [GO:0051301]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; protein localization to kinetochore involved in kinetochore assembly [GO:1903394]; protein-containing complex assembly [GO:0065003]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of exit from mitosis [GO:0007096]
P50995	reviewed	ANX11_HUMAN	Annexin A11 (56 kDa autoantigen) (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)	ANXA11 ANX11	cytokinetic process [GO:0032506]; phagocytosis [GO:0006909]; response to calcium ion [GO:0051592]
P51808	reviewed	DYLT3_HUMAN	Dynein light chain Tctex-type 3 (Protein 91/23) (T-complex-associated testis-expressed 1-like)	DYNLT3 TCTE1L TCTE1XL	cell division [GO:0051301]; microtubule-based movement [GO:0007018]; positive regulation of mitotic cell cycle [GO:0045931]; regulation of mitotic cell cycle [GO:0007346]
P51955	reviewed	NEK2_HUMAN	Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1)	NEK2 NEK2A NLK1	blastocyst development [GO:0001824]; cell division [GO:0051301]; centrosome separation [GO:0051299]; chromosome segregation [GO:0007059]; meiotic cell cycle [GO:0051321]; mitotic cell cycle [GO:0000278]; mitotic spindle assembly [GO:0090307]; negative regulation of centriole-centriole cohesion [GO:1903126]; positive regulation of telomerase activity [GO:0051973]; positive regulation of telomere capping [GO:1904355]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of attachment of spindle microtubules to kinetochore [GO:0051988]; regulation of mitotic centrosome separation [GO:0046602]; regulation of mitotic nuclear division [GO:0007088]; spindle assembly [GO:0051225]
P51956	reviewed	NEK3_HUMAN	Serine/threonine-protein kinase Nek3 (EC 2.7.11.1) (HSPK 36) (Never in mitosis A-related kinase 3) (NimA-related protein kinase 3)	NEK3	cell division [GO:0051301]; establishment of cell polarity [GO:0030010]; mitotic cell cycle [GO:0000278]; neuron projection morphogenesis [GO:0048812]; protein phosphorylation [GO:0006468]; regulation of tubulin deacetylation [GO:0090043]
P51957	reviewed	NEK4_HUMAN	Serine/threonine-protein kinase Nek4 (EC 2.7.11.1) (Never in mitosis A-related kinase 4) (NimA-related protein kinase 4) (Serine/threonine-protein kinase 2) (Serine/threonine-protein kinase NRK2)	NEK4 STK2	cell division [GO:0051301]; DNA damage response [GO:0006974]; mitotic cell cycle [GO:0000278]; positive regulation of DNA-templated transcription [GO:0045893]; protein phosphorylation [GO:0006468]; regulation of cellular senescence [GO:2000772]
P51959	reviewed	CCNG1_HUMAN	Cyclin-G1 (Cyclin-G)	CCNG1 CCNG CYCG1	cell division [GO:0051301]; mitotic cell cycle phase transition [GO:0044772]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; negative regulation of apoptotic process [GO:0043066]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; response to gravity [GO:0009629]; response to organonitrogen compound [GO:0010243]; syncytium formation [GO:0006949]
P52732	reviewed	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	KIF11 EG5 KNSL1 TRIP5	cell division [GO:0051301]; microtubule-based movement [GO:0007018]; mitotic cell cycle [GO:0000278]; mitotic centrosome separation [GO:0007100]; mitotic spindle assembly [GO:0090307]; mitotic spindle organization [GO:0007052]; regulation of mitotic centrosome separation [GO:0046602]; spindle elongation [GO:0051231]; spindle organization [GO:0007051]
P52926	reviewed	HMGA2_HUMAN	High mobility group protein HMGI-C (High mobility group AT-hook protein 2)	HMGA2 HMGIC	base-excision repair [GO:0006284]; cell division [GO:0051301]; chondrocyte differentiation [GO:0002062]; chondrocyte proliferation [GO:0035988]; chromatin organization [GO:0006325]; chromosome condensation [GO:0030261]; endodermal cell differentiation [GO:0035987]; epithelial to mesenchymal transition [GO:0001837]; fat cell differentiation [GO:0045444]; heterochromatin formation [GO:0031507]; intracellular signal transduction [GO:0035556]; mesenchymal cell differentiation [GO:0048762]; mesodermal cell differentiation [GO:0048333]; mesodermal-endodermal cell signaling [GO:0003131]; negative regulation by host of viral transcription [GO:0043922]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA binding [GO:0043392]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of double-strand break repair via nonhomologous end joining [GO:2001033]; negative regulation of single stranded viral RNA replication via double stranded DNA intermediate [GO:0045869]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oncogene-induced cell senescence [GO:0090402]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell proliferation in bone marrow [GO:0071864]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gene expression [GO:0010628]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of stem cell proliferation [GO:2000648]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle process [GO:0010564]; regulation of DNA-templated transcription [GO:0006355]; regulation of stem cell population maintenance [GO:2000036]; response to virus [GO:0009615]; stem cell differentiation [GO:0048863]
P53350	reviewed	PLK1_HUMAN	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	centrosome cycle [GO:0007098]; double-strand break repair [GO:0006302]; double-strand break repair via alternative nonhomologous end joining [GO:0097681]; establishment of mitotic spindle orientation [GO:0000132]; establishment of protein localization [GO:0045184]; female meiosis chromosome segregation [GO:0016321]; G2/M transition of mitotic cell cycle [GO:0000086]; Golgi inheritance [GO:0048313]; homologous chromosome segregation [GO:0045143]; metaphase/anaphase transition of mitotic cell cycle [GO:0007091]; microtubule bundle formation [GO:0001578]; mitotic cell cycle [GO:0000278]; mitotic chromosome condensation [GO:0007076]; mitotic cytokinesis [GO:0000281]; mitotic G2 DNA damage checkpoint signaling [GO:0007095]; mitotic nuclear membrane disassembly [GO:0007077]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint signaling [GO:0007094]; mitotic spindle organization [GO:0007052]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; negative regulation of double-strand break repair via homologous recombination [GO:2000042]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear membrane disassembly [GO:0051081]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of proteolysis [GO:0045862]; positive regulation of ubiquitin protein ligase activity [GO:1904668]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; protein destabilization [GO:0031648]; protein localization to chromatin [GO:0071168]; protein localization to nuclear envelope [GO:0090435]; protein phosphorylation [GO:0006468]; protein ubiquitination [GO:0016567]; regulation of anaphase-promoting complex-dependent catabolic process [GO:1905784]; regulation of cell cycle [GO:0051726]; regulation of cytokinesis [GO:0032465]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic cell cycle phase transition [GO:1901990]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; regulation of mitotic spindle assembly [GO:1901673]; regulation of protein binding [GO:0043393]; regulation of protein localization to cell cortex [GO:1904776]; sister chromatid cohesion [GO:0007062]; synaptonemal complex disassembly [GO:0070194]
P53990	reviewed	IST1_HUMAN	IST1 homolog (hIST1) (Charged multivesicular body protein 8) (CHMP8) (Putative MAPK-activating protein PM28)	IST1 KIAA0174	abscission [GO:0009838]; cell division [GO:0051301]; collateral sprouting [GO:0048668]; cytoskeleton-dependent cytokinesis [GO:0061640]; ESCRT III complex disassembly [GO:1904903]; establishment of protein localization [GO:0045184]; multivesicular body assembly [GO:0036258]; positive regulation of collateral sprouting [GO:0048672]; positive regulation of proteolysis [GO:0045862]; protein localization [GO:0008104]; protein transport [GO:0015031]; viral capsid secondary envelopment [GO:0046745]; viral release from host cell [GO:0019076]
P54274	reviewed	TERF1_HUMAN	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	TERF1 PIN2 TRBF1 TRF TRF1	cell division [GO:0051301]; meiotic telomere clustering [GO:0045141]; negative regulation of DNA replication [GO:0008156]; negative regulation of establishment of protein localization to telomere [GO:1904850]; negative regulation of establishment of protein-containing complex localization to telomere [GO:1904914]; negative regulation of establishment of RNA localization to telomere [GO:1904911]; negative regulation of exonuclease activity [GO:1905778]; negative regulation of telomerase activity [GO:0051974]; negative regulation of telomere maintenance via semi-conservative replication [GO:0032214]; negative regulation of telomere maintenance via telomerase [GO:0032211]; negative regulation of telomere maintenance via telomere lengthening [GO:1904357]; negative regulation of telomeric D-loop disassembly [GO:1905839]; positive regulation of shelterin complex assembly [GO:1904792]; positive regulation of telomere maintenance [GO:0032206]; t-circle formation [GO:0090656]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]; telomere maintenance via telomerase [GO:0007004]; telomeric D-loop disassembly [GO:0061820]
P56211	reviewed	ARP19_HUMAN	cAMP-regulated phosphoprotein 19 (ARPP-19)	ARPP19	cell division [GO:0051301]; G2/M transition of mitotic cell cycle [GO:0000086]; mitotic cell cycle [GO:0000278]; negative regulation of protein dephosphorylation [GO:0035308]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of glucose import [GO:0046326]
